Brand,Price,Overall_Score,Package_size_(oz.),Price_per_serving,Calories,Total_fat_(g),Sugars_(g),Fiber_(g),Sodium_(mg),Protein_(g),Sensory_Score,Nutrition_Score
Bob's Red MillOld Country Style Muesli,$4.00 ,83,18,0.25,110,3,5,4,0,4,5,4
KindVanilla Blueberry Clusters with Flax Seeds,$5.50 ,78,11,0.5,120,3,5,5,20,3,5,4
CheeriosToasted Whole Grain Oat,$4.20 ,72,18,0.23,100,2,1,3,140,3,4,4
CheeriosMultigrain,$3.65 ,72,12.8,0.3,110,1,6,3,120,2,4,4
PostGrape Nuts The Original,$3.60 ,72,20.5,0.36,210,1,5,7,290,8,4,4
PostShredded Wheat Wheat 'n Bran Spoon Size,$3.50 ,71,18,0.39,200,1,0,9,0,6,4,4
AlpenMuesli No Sugar Added,$4.25 ,70,14,0.61,210,3,8,6,15,7,4,4
Kellogg'sAll-Bran Original,$4.20 ,69,18.3,0.25,80,1,6,10,80,4,4,4
TotalWhole Grain,$3.80 ,68,10.6,0.38,100,0.5,5,3,140,2,4,4
QuakerOatmeal Squares Brown Sugar,$3.50 ,66,14.5,0.5,210,2.5,9,5,190,6,4,4
Nature's Path OrganicOrganic Flax Plus Flakes,$3.50 ,65,13.25,0.29,110,1.5,4,5,135,4,4,4
KixCrispy Corn Puffs,$3.30 ,64,12,0.3,110,1,3,3,180,2,4,4
PostShredded Wheat Original Spoon Size,$3.35 ,61,16.4,0.37,170,1,0,6,0,6,3,4
QuakerLife Original,$3.10 ,59,13,0.26,120,1.5,6,2,160,3,3,4
ChexWheat,$3.50 ,58,14,0.44,160,1,5,6,270,5,3,4
Fiber OneOriginal,$4.30 ,58,16.2,0.29,60,1,0,14,110,2,3,5
Kellogg'sMulti-Grain,$3.20 ,57,12,0.29,110,0,6,3,190,2,3,4
WheatiesWhole Grain,$4.25 ,57,15.6,0.27,100,0.5,4,3,190,2,3,4
KashiGo Lean,$3.60 ,57,13.1,0.51,160,1,9,10,90,13,3,4
"PostGreat Grains Protein Blend Honey, Oats & Seeds",$3.65 ,56,13.5,0.52,220,5,8,6,190,8,3,4
Health ValleyOrganic Sprouted Amaranth Flakes,$5.10 ,55,12.65,0.73,190,2.5,8,5,120,6,3,4
Uncle SamSkinner's Raisin Bran,$3.75 ,54,13,0.54,190,1,8,6,120,6,3,4
Fiber OneNutty Clusters & Almonds,$4.00 ,54,16.1,0.5,190,4,12,10,210,4,2,4
Uncle SamOriginal,$3.60 ,52,13,0.51,190,5,0.001,10,135,7,2,4
PostGreat Grains Digestive Blend Berry Medley,$3.60 ,50,12.75,0.51,210,3,9,7,140,6,2,4
WeetabixWhole Grain,$4.70 ,48,14,0.39,130,1,2,4,130,4,2,4
Uncle SamSupergrains Rye & Hemp,$4.00 ,47,11,0.67,230,4.5,0.001,11,105,8,2,4
Fiber OneHoney Squares,$4.10 ,43,11.75,0.37,80,1,3,10,140,1,2,5
EzekielAlmond,$6.50 ,42,16,0.81,200,3,0.001,6,190,8,2,4
Van'sHoney Nut Crunch,$4.40 ,42,11,0.44,120,1,7,5,105,2,2,4
ErewhonSupergrains Quinoa & Chia,$5.50 ,38,9,1.1,230,3.5,0.001,5,190,6,2,4
Enjoy LifeCrunchy Flax Original,$3.70 ,37,10,0.74,200,3,2,6,115,7,2,4
